Well,Bacteria,Phage,Dil,Status
A1,P1-T25-1-P,None,None,None
B1,P1-T25-1-P,2811,0.1,Ancestor
C1,P1-T25-1-P,2811,0.05,Ancestor
D1,P1-T25-1-P,2811,0.025,Ancestor
E1,P1-T25-1-P,2811,0.0125,Ancestor
F1,P1-T25-1-P,2811,0.00625,Ancestor
G1,P1-T25-1-P,2811,0.003125,Ancestor
H1,P1-T25-1-P,2811,0.0015625,Ancestor
A2,P1-T25-1-P,None,None,None
B2,P1-T25-1-P,2811,0.1,Ancestor
C2,P1-T25-1-P,2811,0.05,Ancestor
D2,P1-T25-1-P,2811,0.025,Ancestor
E2,P1-T25-1-P,2811,0.0125,Ancestor
F2,P1-T25-1-P,2811,0.00625,Ancestor
G2,P1-T25-1-P,2811,0.003125,Ancestor
H2,P1-T25-1-P,2811,0.0015625,Ancestor
A3,P1-T25-1-P,None,None,None
B3,P1-T25-1-P,2811,0.1,Ancestor
C3,P1-T25-1-P,2811,0.05,Ancestor
D3,P1-T25-1-P,2811,0.025,Ancestor
E3,P1-T25-1-P,2811,0.0125,Ancestor
F3,P1-T25-1-P,2811,0.00625,Ancestor
G3,P1-T25-1-P,2811,0.003125,Ancestor
H3,P1-T25-1-P,2811,0.0015625,Ancestor
A4,P1-T25-1-P,None,None,None
B4,P1-T25-1-P,2811,0.1,Ancestor
C4,P1-T25-1-P,2811,0.05,Ancestor
D4,P1-T25-1-P,2811,0.025,Ancestor
E4,P1-T25-1-P,2811,0.0125,Ancestor
F4,P1-T25-1-P,2811,0.00625,Ancestor
G4,P1-T25-1-P,2811,0.003125,Ancestor
H4,P1-T25-1-P,2811,0.0015625,Ancestor
A5,Blank,Blank,Blank,Blank
B5,P1-T25-1-P,2811,0.1,Ancestor
C5,P1-T25-1-P,2811,0.05,Ancestor
D5,P1-T25-1-P,2811,0.025,Ancestor
E5,P1-T25-1-P,2811,0.0125,Ancestor
F5,P1-T25-1-P,2811,0.00625,Ancestor
G5,P1-T25-1-P,2811,0.003125,Ancestor
H5,P1-T25-1-P,2811,0.0015625,Ancestor
A6,Blank,Blank,Blank,Blank
B6,P1-T25-1-P,2811,0.1,Ancestor
C6,P1-T25-1-P,2811,0.05,Ancestor
D6,P1-T25-1-P,2811,0.025,Ancestor
E6,P1-T25-1-P,2811,0.0125,Ancestor
F6,P1-T25-1-P,2811,0.00625,Ancestor
G6,P1-T25-1-P,2811,0.003125,Ancestor
H6,P1-T25-1-P,2811,0.0015625,Ancestor
A7,Blank,Blank,Blank,Blank
B7,P1-T25-1-P,2811,0.1,Ancestor
C7,P1-T25-1-P,2811,0.05,Ancestor
D7,P1-T25-1-P,2811,0.025,Ancestor
E7,P1-T25-1-P,2811,0.0125,Ancestor
F7,P1-T25-1-P,2811,0.00625,Ancestor
G7,P1-T25-1-P,2811,0.003125,Ancestor
H7,P1-T25-1-P,2811,0.0015625,Ancestor
A8,Blank,Blank,Blank,Blank
B8,P1-T25-1-P,2811,0.1,Ancestor
C8,P1-T25-1-P,2811,0.05,Ancestor
D8,P1-T25-1-P,2811,0.025,Ancestor
E8,P1-T25-1-P,2811,0.0125,Ancestor
F8,P1-T25-1-P,2811,0.00625,Ancestor
G8,P1-T25-1-P,2811,0.003125,Ancestor
H8,P1-T25-1-P,2811,0.0015625,Ancestor
A9,P1-T25-1-P,2811-P1-T25,undil,Contemporary
B9,P1-T25-1-P,2811-P1-T25,undil,Contemporary
C9,P1-T25-1-P,2811-P1-T25,-1,Contemporary
D9,P1-T25-1-P,2811-P1-T25,-1,Contemporary
E9,P1-T25-1-P,2811-P1-T25,-2,Contemporary
F9,P1-T25-1-P,2811-P1-T25,-2,Contemporary
G9,P1-T25-1-P,2811,0.00078125,Ancestor
H9,P1-T25-1-P,2811,0.00078125,Ancestor
A10,P1-T25-1-P,2811-P1-T25,undil,Contemporary
B10,P1-T25-1-P,2811-P1-T25,undil,Contemporary
C10,P1-T25-1-P,2811-P1-T25,-1,Contemporary
D10,P1-T25-1-P,2811-P1-T25,-1,Contemporary
E10,P1-T25-1-P,2811-P1-T25,-2,Contemporary
F10,P1-T25-1-P,2811-P1-T25,-2,Contemporary
G10,P1-T25-1-P,2811,0.00078125,Ancestor
H10,P1-T25-1-P,2811,0.00078125,Ancestor
A11,P1-T25-1-P,2811-P1-T25,undil,Contemporary
B11,P1-T25-1-P,2811-P1-T25,undil,Contemporary
C11,P1-T25-1-P,2811-P1-T25,-1,Contemporary
D11,P1-T25-1-P,2811-P1-T25,-1,Contemporary
E11,P1-T25-1-P,2811-P1-T25,-2,Contemporary
F11,P1-T25-1-P,2811-P1-T25,-2,Contemporary
G11,P1-T25-1-P,2811,0.00078125,Ancestor
H11,P1-T25-1-P,2811,0.00078125,Ancestor
A12,P1-T25-1-P,2811-P1-T25,undil,Contemporary
B12,P1-T25-1-P,2811-P1-T25,undil,Contemporary
C12,P1-T25-1-P,2811-P1-T25,-1,Contemporary
D12,P1-T25-1-P,2811-P1-T25,-1,Contemporary
E12,P1-T25-1-P,2811-P1-T25,-2,Contemporary
F12,P1-T25-1-P,2811-P1-T25,-2,Contemporary
G12,P1-T25-1-P,2811,0.00078125,Ancestor
H12,P1-T25-1-P,2811,0.00078125,Ancestor
