"","Time","Well","OD600","Bacteria","Phage","Dil","Status"
"1",0,"A1",0.101,"2-P2-T15-1","None","None","None"
"2",300,"A1",0.103,"2-P2-T15-1","None","None","None"
"3",601,"A1",0.102,"2-P2-T15-1","None","None","None"
"4",900,"A1",0.103,"2-P2-T15-1","None","None","None"
"5",1201,"A1",0.103,"2-P2-T15-1","None","None","None"
"6",1500,"A1",0.103,"2-P2-T15-1","None","None","None"
"7",1801,"A1",0.104,"2-P2-T15-1","None","None","None"
"8",2100,"A1",0.103,"2-P2-T15-1","None","None","None"
"9",2401,"A1",0.104,"2-P2-T15-1","None","None","None"
"10",2700,"A1",0.103,"2-P2-T15-1","None","None","None"
"11",3000,"A1",0.103,"2-P2-T15-1","None","None","None"
"12",3301,"A1",0.103,"2-P2-T15-1","None","None","None"
"13",3600,"A1",0.103,"2-P2-T15-1","None","None","None"
"14",3901,"A1",0.103,"2-P2-T15-1","None","None","None"
"15",4200,"A1",0.104,"2-P2-T15-1","None","None","None"
"16",4501,"A1",0.104,"2-P2-T15-1","None","None","None"
"17",4800,"A1",0.104,"2-P2-T15-1","None","None","None"
"18",5101,"A1",0.103,"2-P2-T15-1","None","None","None"
"19",5400,"A1",0.104,"2-P2-T15-1","None","None","None"
"20",5700,"A1",0.104,"2-P2-T15-1","None","None","None"
"21",6001,"A1",0.104,"2-P2-T15-1","None","None","None"
"22",6300,"A1",0.104,"2-P2-T15-1","None","None","None"
"23",6601,"A1",0.104,"2-P2-T15-1","None","None","None"
"24",6900,"A1",0.104,"2-P2-T15-1","None","None","None"
"25",7201,"A1",0.104,"2-P2-T15-1","None","None","None"
"26",7500,"A1",0.104,"2-P2-T15-1","None","None","None"
"27",7801,"A1",0.104,"2-P2-T15-1","None","None","None"
"28",8100,"A1",0.104,"2-P2-T15-1","None","None","None"
"29",8400,"A1",0.105,"2-P2-T15-1","None","None","None"
"30",8701,"A1",0.105,"2-P2-T15-1","None","None","None"
"31",9000,"A1",0.104,"2-P2-T15-1","None","None","None"
"32",9301,"A1",0.105,"2-P2-T15-1","None","None","None"
"33",9600,"A1",0.105,"2-P2-T15-1","None","None","None"
"34",9901,"A1",0.105,"2-P2-T15-1","None","None","None"
"35",10200,"A1",0.105,"2-P2-T15-1","None","None","None"
"36",10501,"A1",0.105,"2-P2-T15-1","None","None","None"
"37",10800,"A1",0.105,"2-P2-T15-1","None","None","None"
"38",11100,"A1",0.105,"2-P2-T15-1","None","None","None"
"39",11401,"A1",0.104,"2-P2-T15-1","None","None","None"
"40",11700,"A1",0.105,"2-P2-T15-1","None","None","None"
"41",12001,"A1",0.105,"2-P2-T15-1","None","None","None"
"42",12300,"A1",0.105,"2-P2-T15-1","None","None","None"
"43",12601,"A1",0.105,"2-P2-T15-1","None","None","None"
"44",12900,"A1",0.106,"2-P2-T15-1","None","None","None"
"45",13201,"A1",0.105,"2-P2-T15-1","None","None","None"
"46",13500,"A1",0.105,"2-P2-T15-1","None","None","None"
"47",13800,"A1",0.105,"2-P2-T15-1","None","None","None"
"48",14101,"A1",0.106,"2-P2-T15-1","None","None","None"
"49",14400,"A1",0.106,"2-P2-T15-1","None","None","None"
"50",14701,"A1",0.105,"2-P2-T15-1","None","None","None"
"51",15000,"A1",0.106,"2-P2-T15-1","None","None","None"
"52",15301,"A1",0.106,"2-P2-T15-1","None","None","None"
"53",15600,"A1",0.106,"2-P2-T15-1","None","None","None"
"54",15901,"A1",0.106,"2-P2-T15-1","None","None","None"
"55",16200,"A1",0.106,"2-P2-T15-1","None","None","None"
"56",16500,"A1",0.106,"2-P2-T15-1","None","None","None"
"57",16801,"A1",0.106,"2-P2-T15-1","None","None","None"
"58",17100,"A1",0.106,"2-P2-T15-1","None","None","None"
"59",17401,"A1",0.106,"2-P2-T15-1","None","None","None"
"60",17700,"A1",0.106,"2-P2-T15-1","None","None","None"
"61",18001,"A1",0.106,"2-P2-T15-1","None","None","None"
"62",18300,"A1",0.106,"2-P2-T15-1","None","None","None"
"63",18601,"A1",0.106,"2-P2-T15-1","None","None","None"
"64",18900,"A1",0.106,"2-P2-T15-1","None","None","None"
"65",19200,"A1",0.106,"2-P2-T15-1","None","None","None"
"66",19501,"A1",0.106,"2-P2-T15-1","None","None","None"
"67",19800,"A1",0.106,"2-P2-T15-1","None","None","None"
"68",20101,"A1",0.107,"2-P2-T15-1","None","None","None"
"69",20400,"A1",0.106,"2-P2-T15-1","None","None","None"
"70",20701,"A1",0.106,"2-P2-T15-1","None","None","None"
"71",21000,"A1",0.106,"2-P2-T15-1","None","None","None"
"72",21301,"A1",0.106,"2-P2-T15-1","None","None","None"
"73",21600,"A1",0.107,"2-P2-T15-1","None","None","None"
"74",21900,"A1",0.106,"2-P2-T15-1","None","None","None"
"75",22201,"A1",0.106,"2-P2-T15-1","None","None","None"
"76",22500,"A1",0.107,"2-P2-T15-1","None","None","None"
"77",22801,"A1",0.106,"2-P2-T15-1","None","None","None"
"78",23100,"A1",0.107,"2-P2-T15-1","None","None","None"
"79",23401,"A1",0.106,"2-P2-T15-1","None","None","None"
"80",23700,"A1",0.107,"2-P2-T15-1","None","None","None"
"81",24001,"A1",0.107,"2-P2-T15-1","None","None","None"
"82",24300,"A1",0.107,"2-P2-T15-1","None","None","None"
"83",24600,"A1",0.108,"2-P2-T15-1","None","None","None"
"84",24901,"A1",0.107,"2-P2-T15-1","None","None","None"
"85",25200,"A1",0.107,"2-P2-T15-1","None","None","None"
"86",25501,"A1",0.107,"2-P2-T15-1","None","None","None"
"87",25800,"A1",0.108,"2-P2-T15-1","None","None","None"
"88",26101,"A1",0.107,"2-P2-T15-1","None","None","None"
"89",26400,"A1",0.108,"2-P2-T15-1","None","None","None"
"90",26701,"A1",0.107,"2-P2-T15-1","None","None","None"
"91",27000,"A1",0.108,"2-P2-T15-1","None","None","None"
"92",27300,"A1",0.108,"2-P2-T15-1","None","None","None"
"93",27601,"A1",0.108,"2-P2-T15-1","None","None","None"
"94",27900,"A1",0.108,"2-P2-T15-1","None","None","None"
"95",28201,"A1",0.108,"2-P2-T15-1","None","None","None"
"96",28500,"A1",0.108,"2-P2-T15-1","None","None","None"
"97",28801,"A1",0.108,"2-P2-T15-1","None","None","None"
"98",29100,"A1",0.108,"2-P2-T15-1","None","None","None"
"99",29401,"A1",0.109,"2-P2-T15-1","None","None","None"
"100",29700,"A1",0.109,"2-P2-T15-1","None","None","None"
"101",30000,"A1",0.109,"2-P2-T15-1","None","None","None"
