Date,Phage_Strain,Train_Status,Initial_Status,Category,Rep,Day,CFU,Dilution,Titer,Notes
20210213,9+,Trained,OmpF+,OmpF+,1,0,NA,NA,5.80E+03,
20210213,11+,Trained,OmpF+,OmpF+,1,0,NA,NA,5.80E+03,
20210213,14+,Trained,OmpF+,OmpF+,1,0,NA,NA,5.80E+03,
20210213,21+,Trained,OmpF+,OmpF+,1,0,NA,NA,5.80E+03,
20210213,23+,Trained,OmpF+,OmpF+,1,0,NA,NA,5.80E+03,
20210213,24+,Trained,OmpF+,OmpF+,1,0,NA,NA,5.80E+03,
20210213,1-,Trained,OmpF-,OmpF-,1,0,NA,NA,5.80E+03,
20210213,3-,Trained,OmpF-,OmpF-,1,0,NA,NA,5.80E+03,
20210213,6-,Trained,OmpF-,OmpF-,1,0,NA,NA,5.80E+03,
20210213,10-,Trained,OmpF-,OmpF-,1,0,NA,NA,5.80E+03,
20210213,13-,Trained,OmpF-,OmpF-,1,0,NA,NA,5.80E+03,
20210213,15-,Trained,OmpF-,OmpF-,1,0,NA,NA,5.80E+03,
20210213,cI26,Untrained,OmpF-,cI26,1,0,NA,NA,5.80E+03,
20210213,cI26,Untrained,OmpF-,cI26,2,0,NA,NA,5.80E+03,
20210213,cI26,Untrained,OmpF-,cI26,3,0,NA,NA,5.80E+03,
20210213,cI26,Untrained,OmpF-,cI26,4,0,NA,NA,5.80E+03,
20210213,cI26,Untrained,OmpF-,cI26,5,0,NA,NA,5.80E+03,
20210213,cI26,Untrained,OmpF-,cI26,6,0,NA,NA,5.80E+03,
20210213,2811,Trained,OmpF+,2811,1,0,NA,NA,5.80E+03,
20210213,2811,Trained,OmpF+,2811,2,0,NA,NA,5.80E+03,
20210213,2811,Trained,OmpF+,2811,3,0,NA,NA,5.80E+03,
20210213,2811,Trained,OmpF+,2811,4,0,NA,NA,5.80E+03,
20210213,2811,Trained,OmpF+,2811,5,0,NA,NA,5.80E+03,
20210213,2811,Trained,OmpF+,2811,6,0,NA,NA,5.80E+03,
20210214,9+,Trained,OmpF+,OmpF+,1,1,22,3,2.20E+05,
20210214,11+,Trained,OmpF+,OmpF+,1,1,4,1,4.00E+02,
20210214,14+,Trained,OmpF+,OmpF+,1,1,1,1,1.00E+02,
20210214,21+,Trained,OmpF+,OmpF+,1,1,2,1,2.00E+02,
20210214,23+,Trained,OmpF+,OmpF+,1,1,31,1,3.10E+03,
20210214,24+,Trained,OmpF+,OmpF+,1,1,1,1,1.00E+02,
20210214,1-,Trained,OmpF-,OmpF-,1,1,1568,5,1.57E+09,
20210214,3-,Trained,OmpF-,OmpF-,1,1,192,5,1.92E+08,
20210214,6-,Trained,OmpF-,OmpF-,1,1,89,3,8.90E+05,
20210214,10-,Trained,OmpF-,OmpF-,1,1,304,5,3.04E+08,
20210214,13-,Trained,OmpF-,OmpF-,1,1,72,5,7.20E+07,
20210214,15-,Trained,OmpF-,OmpF-,1,1,540,3,5.40E+06,
20210214,cI26,Untrained,OmpF-,cI26,1,1,1456,3,1.46E+07,
20210214,cI26,Untrained,OmpF-,cI26,2,1,2408,3,2.41E+07,
20210214,cI26,Untrained,OmpF-,cI26,3,1,1960,3,1.96E+07,
20210214,cI26,Untrained,OmpF-,cI26,4,1,8008,3,8.01E+07,
20210214,cI26,Untrained,OmpF-,cI26,5,1,6664,3,6.66E+07,
20210214,cI26,Untrained,OmpF-,cI26,6,1,8736,3,8.74E+07,
20210214,2811,Trained,OmpF+,2811,1,1,97,1,9.70E+03,
20210214,2811,Trained,OmpF+,2811,2,1,170,1,1.70E+04,
