"","Time","Well","OD600","Treatment","Strain","Phage","Status"
"1",0,"A1",0.094,"cI26","REL606","No","Sensitive"
"2",300,"A1",0.095,"cI26","REL606","No","Sensitive"
"3",600,"A1",0.096,"cI26","REL606","No","Sensitive"
"4",900,"A1",0.096,"cI26","REL606","No","Sensitive"
"5",1201,"A1",0.096,"cI26","REL606","No","Sensitive"
"6",1500,"A1",0.096,"cI26","REL606","No","Sensitive"
"7",1801,"A1",0.096,"cI26","REL606","No","Sensitive"
"8",2100,"A1",0.096,"cI26","REL606","No","Sensitive"
"9",2401,"A1",0.096,"cI26","REL606","No","Sensitive"
"10",2700,"A1",0.096,"cI26","REL606","No","Sensitive"
"11",3000,"A1",0.096,"cI26","REL606","No","Sensitive"
"12",3300,"A1",0.096,"cI26","REL606","No","Sensitive"
"13",3600,"A1",0.097,"cI26","REL606","No","Sensitive"
"14",3901,"A1",0.096,"cI26","REL606","No","Sensitive"
"15",4200,"A1",0.097,"cI26","REL606","No","Sensitive"
"16",4501,"A1",0.097,"cI26","REL606","No","Sensitive"
"17",4800,"A1",0.097,"cI26","REL606","No","Sensitive"
"18",5101,"A1",0.097,"cI26","REL606","No","Sensitive"
"19",5400,"A1",0.097,"cI26","REL606","No","Sensitive"
"20",5700,"A1",0.097,"cI26","REL606","No","Sensitive"
"21",6000,"A1",0.097,"cI26","REL606","No","Sensitive"
"22",6300,"A1",0.097,"cI26","REL606","No","Sensitive"
"23",6601,"A1",0.097,"cI26","REL606","No","Sensitive"
"24",6900,"A1",0.097,"cI26","REL606","No","Sensitive"
"25",7201,"A1",0.097,"cI26","REL606","No","Sensitive"
"26",7500,"A1",0.098,"cI26","REL606","No","Sensitive"
"27",7801,"A1",0.098,"cI26","REL606","No","Sensitive"
"28",8100,"A1",0.098,"cI26","REL606","No","Sensitive"
"29",8400,"A1",0.098,"cI26","REL606","No","Sensitive"
"30",8700,"A1",0.098,"cI26","REL606","No","Sensitive"
"31",9000,"A1",0.098,"cI26","REL606","No","Sensitive"
"32",9301,"A1",0.098,"cI26","REL606","No","Sensitive"
"33",9600,"A1",0.098,"cI26","REL606","No","Sensitive"
"34",9901,"A1",0.099,"cI26","REL606","No","Sensitive"
"35",10200,"A1",0.099,"cI26","REL606","No","Sensitive"
"36",10501,"A1",0.099,"cI26","REL606","No","Sensitive"
"37",10800,"A1",0.098,"cI26","REL606","No","Sensitive"
"38",11100,"A1",0.098,"cI26","REL606","No","Sensitive"
"39",11400,"A1",0.098,"cI26","REL606","No","Sensitive"
"40",11700,"A1",0.098,"cI26","REL606","No","Sensitive"
"41",12001,"A1",0.098,"cI26","REL606","No","Sensitive"
"42",12300,"A1",0.099,"cI26","REL606","No","Sensitive"
"43",12601,"A1",0.099,"cI26","REL606","No","Sensitive"
"44",12900,"A1",0.099,"cI26","REL606","No","Sensitive"
"45",13201,"A1",0.099,"cI26","REL606","No","Sensitive"
"46",13500,"A1",0.099,"cI26","REL606","No","Sensitive"
"47",13800,"A1",0.099,"cI26","REL606","No","Sensitive"
"48",14100,"A1",0.099,"cI26","REL606","No","Sensitive"
"49",14400,"A1",0.099,"cI26","REL606","No","Sensitive"
"50",14701,"A1",0.099,"cI26","REL606","No","Sensitive"
"51",15000,"A1",0.099,"cI26","REL606","No","Sensitive"
"52",15301,"A1",0.099,"cI26","REL606","No","Sensitive"
"53",15600,"A1",0.1,"cI26","REL606","No","Sensitive"
"54",15901,"A1",0.099,"cI26","REL606","No","Sensitive"
"55",16200,"A1",0.099,"cI26","REL606","No","Sensitive"
"56",16500,"A1",0.1,"cI26","REL606","No","Sensitive"
"57",16800,"A1",0.1,"cI26","REL606","No","Sensitive"
"58",17100,"A1",0.1,"cI26","REL606","No","Sensitive"
"59",17401,"A1",0.1,"cI26","REL606","No","Sensitive"
"60",17700,"A1",0.1,"cI26","REL606","No","Sensitive"
"61",18001,"A1",0.1,"cI26","REL606","No","Sensitive"
