"","Time","Well","OD600","Bacteria","Treatment","Phage","Status"
"1",0,"A1",0.123,"REL606","cI26","cI26","Ancestor"
"2",300,"A1",0.122,"REL606","cI26","cI26","Ancestor"
"3",600,"A1",0.122,"REL606","cI26","cI26","Ancestor"
"4",900,"A1",0.123,"REL606","cI26","cI26","Ancestor"
"5",1200,"A1",0.123,"REL606","cI26","cI26","Ancestor"
"6",1500,"A1",0.122,"REL606","cI26","cI26","Ancestor"
"7",1800,"A1",0.122,"REL606","cI26","cI26","Ancestor"
"8",2100,"A1",0.123,"REL606","cI26","cI26","Ancestor"
"9",2400,"A1",0.123,"REL606","cI26","cI26","Ancestor"
"10",2700,"A1",0.124,"REL606","cI26","cI26","Ancestor"
"11",3000,"A1",0.123,"REL606","cI26","cI26","Ancestor"
"12",3300,"A1",0.123,"REL606","cI26","cI26","Ancestor"
"13",3600,"A1",0.123,"REL606","cI26","cI26","Ancestor"
"14",3900,"A1",0.123,"REL606","cI26","cI26","Ancestor"
"15",4200,"A1",0.123,"REL606","cI26","cI26","Ancestor"
"16",4500,"A1",0.124,"REL606","cI26","cI26","Ancestor"
"17",4800,"A1",0.124,"REL606","cI26","cI26","Ancestor"
"18",5100,"A1",0.123,"REL606","cI26","cI26","Ancestor"
"19",5400,"A1",0.124,"REL606","cI26","cI26","Ancestor"
"20",5700,"A1",0.124,"REL606","cI26","cI26","Ancestor"
"21",6000,"A1",0.123,"REL606","cI26","cI26","Ancestor"
"22",6300,"A1",0.124,"REL606","cI26","cI26","Ancestor"
"23",6600,"A1",0.123,"REL606","cI26","cI26","Ancestor"
"24",6900,"A1",0.124,"REL606","cI26","cI26","Ancestor"
"25",7200,"A1",0.124,"REL606","cI26","cI26","Ancestor"
"26",7500,"A1",0.124,"REL606","cI26","cI26","Ancestor"
"27",7800,"A1",0.123,"REL606","cI26","cI26","Ancestor"
"28",8100,"A1",0.124,"REL606","cI26","cI26","Ancestor"
"29",8400,"A1",0.124,"REL606","cI26","cI26","Ancestor"
