Date,Plated,Phage_Strain,Inoculum,Rep,Timepoint,Counts,Dilution,Titer,MannNormal,MannMutant,CountsOn19A,DilutionOn19A,TiterOn19A,Notes,,,,,,,,,,,
20190219,Lysate,cI26,Lo,1,0,NA,NA,1.00E+01,NA,NA,NA,NA,NA,"At this first time-point, populations weren't plated. Titers are inferred based on initial inoculum densities",,,,,,,,,,,
20190219,Lysate,cI26,Lo,2,0,NA,NA,1.00E+01,NA,NA,NA,NA,NA,"At this first time-point, populations weren't plated. Titers are inferred based on initial inoculum densities",,,,,,,,,,,
20190219,Lysate,cI26,Lo,3,0,NA,NA,1.00E+01,NA,NA,NA,NA,NA,"At this first time-point, populations weren't plated. Titers are inferred based on initial inoculum densities",,,,,,,,,,,
20190219,Lysate,cI26,Hi,1,0,NA,NA,1.00E+07,NA,NA,NA,NA,NA,"At this first time-point, populations weren't plated. Titers are inferred based on initial inoculum densities",,,,,,,,,,,
20190219,Lysate,cI26,Hi,2,0,NA,NA,1.00E+07,NA,NA,NA,NA,NA,"At this first time-point, populations weren't plated. Titers are inferred based on initial inoculum densities",,,,,,,,,,,
20190219,Lysate,cI26,Hi,3,0,NA,NA,1.00E+07,NA,NA,NA,NA,NA,"At this first time-point, populations weren't plated. Titers are inferred based on initial inoculum densities",,,,,,,,,,,
20190219,Lysate,28.11,Lo,1,0,NA,NA,1.00E+01,NA,NA,NA,NA,NA,"At this first time-point, populations weren't plated. Titers are inferred based on initial inoculum densities",,,,,,,,,,,
20190219,Lysate,28.11,Lo,2,0,NA,NA,1.00E+01,NA,NA,NA,NA,NA,"At this first time-point, populations weren't plated. Titers are inferred based on initial inoculum densities",,,,,,,,,,,
20190219,Lysate,28.11,Lo,3,0,NA,NA,1.00E+01,NA,NA,NA,NA,NA,"At this first time-point, populations weren't plated. Titers are inferred based on initial inoculum densities",,,,,,,,,,,
20190219,Lysate,28.11,Hi,1,0,NA,NA,1.00E+06,NA,NA,NA,NA,NA,"At this first time-point, populations weren't plated. Titers are inferred based on initial inoculum densities",,,,,,,,,,,
20190219,Lysate,28.11,Hi,2,0,NA,NA,1.00E+06,NA,NA,NA,NA,NA,"At this first time-point, populations weren't plated. Titers are inferred based on initial inoculum densities",,,,,,,,,,,
20190219,Lysate,28.11,Hi,3,0,NA,NA,1.00E+06,NA,NA,NA,NA,NA,"At this first time-point, populations weren't plated. Titers are inferred based on initial inoculum densities",,,,,,,,,,,
20190219,Coculture,cI26,Lo,1,0,NA,NA,1.00E+03,NA,NA,NA,NA,NA,"At this first time-point, populations weren't plated. Titers are inferred based on initial inoculum densities",,,,,,,,,,,
20190219,Coculture,cI26,Lo,2,0,NA,NA,1.00E+03,NA,NA,NA,NA,NA,"At this first time-point, populations weren't plated. Titers are inferred based on initial inoculum densities",,,,,,,,,,,
20190219,Coculture,cI26,Lo,3,0,NA,NA,1.00E+03,NA,NA,NA,NA,NA,"At this first time-point, populations weren't plated. Titers are inferred based on initial inoculum densities",,,,,,,,,,,
20190219,Coculture,cI26,Hi,1,0,NA,NA,1.00E+03,NA,NA,NA,NA,NA,"At this first time-point, populations weren't plated. Titers are inferred based on initial inoculum densities",,,,,,,,,,,
