Strain,Label,Treatment,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T125,T126,T127,T128,T129,T130,T131,T132,T133,T134,T135,T136,T137,T138,T139,T140,T141,T142,T143,T144,T145,T146,T147,T148,T149,T150,T151,T152,T153,T154,T155,T156,T157,T158,T159,T160,T161,T162,T163,T164,T165,T166,T167,T168,T169,T170,T171,T172,T173,T174,T175,T176,T177,T178,T179,T180,T181,T182,T183,T184,T185,T186,T187,T188,T189,T190,T191,T192,T193,T194,T195,T196,T197,T198,T199,T200,T201,T202,T203,T204,T205,T206,T207,T208,T209,T210,T211,T212,T213,T214,T215,T216,T217,T218,T219,T220,T221,T222,T223,T224,T225,T226,T227,T228,T229,T230,T231,T232,T233,T234,T235,T236,T237,T238,T239,T240
REL606-S,REL606,Ancestor,-0.002,-0.002,-0.002,-0.003,-0.003,-0.002,-0.002,-0.002,-0.002,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.002,-0.004,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.004,-0.004,-0.004,-0.004,-0.004,-0.003,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.005,-0.004,-0.004,-0.004,-0.004,-0.004,-0.003,-0.004,-0.004,-0.003,-0.003,-0.002,-0.003,-0.002,-0.001,0,0.001,0.002,0.003,0.005,0.007,0.009,0.012,0.014,0.018,0.022,0.027,0.032,0.039,0.046,0.053,0.061,0.069,0.077,0.085,0.094,0.104,0.116,0.129,0.142,0.155,0.169,0.184,0.199,0.216,0.234,0.25,0.268,0.285,0.302,0.318,0.338,0.354,0.37,0.389,0.404,0.415,0.422,0.428,0.436,0.443,0.451,0.456,0.463,0.469,0.473,0.479,0.483,0.485,0.49,0.493,0.496,0.499,0.501,0.503,0.506,0.508,0.511,0.513,0.515,0.517,0.517,0.52,0.521,0.521,0.523,0.524,0.527,0.528,0.528,0.529,0.532,0.535,0.536,0.536,0.537,0.539,0.542,0.545,0.545,0.547,0.549,0.552,0.552,0.556,0.555,0.557,0.558,0.559,0.561,0.562,0.565,0.566,0.567,0.57,0.57,0.571,0.572,0.574,0.575,0.577,0.579,0.58,0.581,0.582,0.584,0.587,0.588,0.59,0.591,0.593,0.595,0.595,0.597,0.599,0.6,0.603,0.605,0.606,0.608,0.61,0.613,0.616,0.617,0.619,0.62,0.623,0.625,0.626,0.628,0.63,0.632,0.634,0.635,0.637,0.64,0.641,0.643,0.644,0.644,0.647,0.649,0.651,0.652,0.653,0.654,0.656,0.658,0.66,0.661,0.662,0.663,0.664,0.666,0.669,0.672,0.674,0.675,0.676,0.677,0.679,0.681,0.682,0.682,0.685,0.687,0.689,0.689,0.69,0.686,0.683,0.683,0.687,0.689,0.692,0.693,0.695,0.698,0.7,0.701,0.702,0.706,0.71,0.712,0.716
cI26-P1-T3-2-R,P1-T3-2,cI26,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0,-0.001,0,-0.001,-0.001,-0.001,-0.001,-0.002,-0.001,-0.003,-0.004,-0.004,-0.005,-0.005,-0.005,-0.006,-0.007,-0.007,-0.008,-0.008,-0.009,-0.009,-0.009,-0.009,-0.01,-0.01,-0.011,-0.012,-0.011,-0.012,-0.013,-0.014,-0.013,-0.013,-0.014,-0.015,-0.016,-0.016,-0.016,-0.017,-0.017,-0.018,-0.019,-0.019,-0.02,-0.02,-0.021,-0.022,-0.023,-0.023,-0.025,-0.026,-0.027,-0.029,-0.03,-0.031,-0.033,-0.035,-0.037,-0.038,-0.038,-0.039,-0.039,-0.04,-0.041,-0.043,-0.044,-0.044,-0.044,-0.046,-0.045,-0.043,-0.042,-0.039,-0.036,-0.032,-0.029,-0.029,-0.03,-0.029,-0.026,-0.021,-0.021,-0.019,-0.018,-0.015,-0.012,-0.007,-0.006,-0.005,-0.005,-0.003,-0.004,-0.001,-0.001,0,0.001,-0.001,0.002,0,-0.002,-0.003,-0.003,-0.006,-0.005,-0.008,-0.008,-0.008,-0.01,-0.011,-0.01,-0.011,-0.008,-0.006,-0.01,-0.012,-0.014,-0.015,-0.013,-0.012,-0.012,-0.011,-0.014,-0.016,-0.016,-0.014,-0.014,-0.013,-0.016,-0.015,-0.014,-0.014,-0.013,-0.012,-0.012,-0.014,-0.015,-0.013,-0.012,-0.012,-0.012,-0.012,-0.012,-0.012,-0.011,-0.013,-0.01,-0.012,-0.011,-0.011,-0.012,-0.011,-0.012,-0.013,-0.012,-0.012,-0.012,-0.011,-0.013,-0.013,-0.012,-0.012,-0.012,-0.013,-0.013,-0.012,-0.012,-0.011,-0.012,-0.011,-0.013,-0.012,-0.012,-0.013,-0.014,-0.012,-0.015,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017,-0.016,-0.016,-0.016,-0.017,-0.017,-0.018,-0.019,-0.017,-0.018,-0.017,-0.017,-0.016,-0.017,-0.017,-0.018,-0.018,-0.018,-0.017,-0.016,-0.019,-0.018,-0.02,-0.02,-0.021,-0.02,-0.019,-0.021,-0.02,-0.019,-0.02,-0.02,-0.021,-0.017,-0.014,-0.014,-0.013,-0.014,-0.015,-0.014,-0.015,-0.015,-0.016,-0.015,-0.015,-0.017,-0.016,-0.017,-0.019,-0.018,-0.019
cI26-P2-T3-1-R,P2-T3-1,cI26,0,0,0,-0.001,0,0,0,-0.001,-0.001,-0.001,-0.001,-0.002,-0.001,-0.001,-0.001,-0.002,-0.003,-0.004,-0.003,-0.003,-0.004,-0.004,-0.005,-0.006,-0.006,-0.006,-0.007,-0.007,-0.008,-0.009,-0.01,-0.01,-0.011,-0.011,-0.011,-0.012,-0.012,-0.013,-0.012,-0.012,-0.014,-0.014,-0.016,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017,-0.018,-0.019,-0.019,-0.019,-0.019,-0.02,-0.019,-0.02,-0.02,-0.02,-0.02,-0.021,-0.021,-0.022,-0.023,-0.023,-0.023,-0.02,-0.02,-0.019,-0.02,-0.019,-0.019,-0.019,-0.016,-0.015,-0.013,-0.009,-0.006,-0.001,0.004,0.008,0.01,0.011,0.012,0.014,0.015,0.021,0.022,0.026,0.026,0.027,0.029,0.033,0.034,0.035,0.038,0.036,0.038,0.039,0.037,0.044,0.042,0.04,0.038,0.037,0.039,0.036,0.039,0.039,0.037,0.035,0.034,0.032,0.033,0.031,0.032,0.03,0.031,0.029,0.029,0.026,0.026,0.024,0.027,0.024,0.027,0.026,0.026,0.024,0.024,0.025,0.024,0.023,0.026,0.024,0.024,0.024,0.024,0.023,0.023,0.023,0.025,0.025,0.023,0.022,0.024,0.024,0.023,0.023,0.022,0.023,0.023,0.024,0.024,0.025,0.025,0.025,0.025,0.026,0.025,0.025,0.026,0.026,0.026,0.027,0.026,0.028,0.027,0.028,0.026,0.027,0.027,0.028,0.026,0.025,0.025,0.025,0.025,0.024,0.024,0.025,0.024,0.025,0.024,0.025,0.025,0.024,0.026,0.025,0.025,0.024,0.024,0.025,0.025,0.025,0.025,0.026,0.026,0.025,0.026,0.026,0.027,0.028,0.026,0.027,0.026,0.027,0.027,0.026,0.026,0.027,0.026,0.026,0.026,0.025,0.023,0.025,0.025,0.027,0.027,0.027,0.028,0.027,0.028,0.028,0.028,0.027,0.028,0.028,0.027,0.028,0.027,0.027,0.027,0.026,0.027,0.027,0.027,0.025,0.026,0.025
cI26-P3-T3-1-R,P3-T3-1,cI26,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,-0.001,-0.002,-0.002,-0.002,-0.003,-0.004,-0.003,-0.004,-0.005,-0.006,-0.007,-0.007,-0.007,-0.007,-0.009,-0.009,-0.008,-0.008,-0.01,-0.01,-0.01,-0.012,-0.011,-0.013,-0.013,-0.013,-0.015,-0.014,-0.015,-0.015,-0.016,-0.016,-0.018,-0.018,-0.017,-0.018,-0.02,-0.02,-0.021,-0.021,-0.022,-0.022,-0.022,-0.023,-0.024,-0.023,-0.024,-0.026,-0.027,-0.028,-0.029,-0.03,-0.028,-0.028,-0.026,-0.027,-0.027,-0.028,-0.028,-0.027,-0.026,-0.024,-0.024,-0.021,-0.018,-0.015,-0.012,-0.007,-0.007,-0.006,-0.006,-0.004,-0.002,0.001,0.005,0.005,0.008,0.009,0.012,0.013,0.015,0.016,0.017,0.017,0.018,0.017,0.018,0.02,0.019,0.018,0.017,0.018,0.019,0.017,0.017,0.015,0.016,0.015,0.012,0.014,0.014,0.013,0.013,0.013,0.013,0.013,0.012,0.012,0.012,0.012,0.013,0.012,0.013,0.014,0.014,0.013,0.013,0.013,0.013,0.014,0.014,0.014,0.014,0.013,0.013,0.013,0.014,0.014,0.016,0.015,0.015,0.014,0.017,0.016,0.016,0.016,0.015,0.017,0.016,0.015,0.016,0.015,0.015,0.015,0.015,0.015,0.016,0.017,0.017,0.017,0.016,0.017,0.017,0.016,0.017,0.018,0.018,0.018,0.018,0.017,0.018,0.019,0.018,0.017,0.018,0.018,0.018,0.019,0.019,0.019,0.02,0.02,0.02,0.019,0.02,0.02,0.02,0.019,0.021,0.026,0.028,0.03,0.031,0.031,0.031,0.033,0.032,0.034,0.033,0.033,0.034,0.034,0.033,0.033,0.033,0.033,0.034,0.034,0.033,0.034,0.035,0.034,0.034,0.034,0.034,0.036,0.035,0.035,0.036,0.035,0.034,0.034,0.034,0.034,0.034,0.034,0.033,0.034,0.035,0.036,0.036,0.037,0.037,0.037,0.036,0.037,0.037,0.036,0.036
2811-P1-T25-1-P,P1-T25-1,2811,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.004,0.004,0.004,0.005,0.006,0.006,0.006,0.006,0.007,0.008,0.009,0.008,0.01,0.011,0.013,0.013,0.014,0.016,0.018,0.02,0.022,0.025,0.028,0.031,0.034,0.038,0.041,0.048,0.051,0.058,0.063,0.068,0.075,0.082,0.088,0.096,0.104,0.113,0.12,0.129,0.138,0.146,0.157,0.165,0.175,0.184,0.195,0.206,0.217,0.225,0.236,0.247,0.258,0.268,0.279,0.289,0.3,0.31,0.321,0.33,0.334,0.339,0.345,0.35,0.355,0.357,0.361,0.364,0.369,0.371,0.375,0.379,0.383,0.388,0.396,0.404,0.412,0.419,0.428,0.436,0.443,0.449,0.453,0.456,0.46,0.464,0.466,0.468,0.47,0.472,0.474,0.475,0.476,0.478,0.48,0.481,0.483,0.484,0.487,0.489,0.492,0.493,0.496,0.497,0.498,0.5,0.502,0.504,0.505,0.507,0.508,0.508,0.511,0.511,0.514,0.514,0.515,0.517,0.518,0.519,0.521,0.521,0.524,0.525,0.525,0.528,0.53,0.53,0.531,0.533,0.535,0.536,0.538,0.538,0.54,0.542,0.544,0.545,0.548,0.55,0.553,0.554,0.556,0.558,0.558,0.56,0.561,0.563,0.565,0.567,0.569,0.568,0.57,0.572,0.574,0.576,0.578,0.579,0.581,0.581,0.583,0.585,0.586,0.586,0.587,0.59,0.59,0.592,0.594,0.596,0.597,0.598,0.599,0.6,0.602,0.603,0.604,0.606
2811-P1-T30-1-S,P1-T30-1,2811,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.002,-0.001,-0.001,-0.001,-0.001,-0.001,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.001,-0.002,-0.001,-0.002,-0.002,-0.002,-0.002,-0.003,-0.003,-0.003,-0.003,-0.003,-0.002,-0.003,-0.002,-0.002,-0.003,-0.003,-0.003,-0.003,-0.002,-0.002,-0.002,-0.001,-0.002,-0.001,-0.001,-0.001,0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.01,0.012,0.016,0.019,0.023,0.027,0.032,0.038,0.045,0.052,0.058,0.063,0.069,0.077,0.086,0.095,0.105,0.116,0.127,0.137,0.15,0.162,0.175,0.187,0.201,0.212,0.223,0.233,0.243,0.256,0.266,0.28,0.293,0.308,0.324,0.342,0.358,0.364,0.37,0.376,0.381,0.387,0.392,0.396,0.399,0.402,0.405,0.408,0.409,0.411,0.414,0.415,0.416,0.424,0.427,0.429,0.432,0.438,0.44,0.446,0.453,0.456,0.458,0.461,0.466,0.47,0.473,0.472,0.473,0.477,0.481,0.479,0.478,0.474,0.476,0.482,0.483,0.483,0.489,0.487,0.491,0.492,0.496,0.494,0.495,0.494,0.498,0.499,0.507,0.513,0.51,0.508,0.507,0.51,0.516,0.517,0.521,0.523,0.522,0.521,0.521,0.521,0.527,0.529,0.529,0.53,0.531,0.535,0.539,0.542,0.54,0.543,0.549,0.552,0.554,0.548,0.555,0.56,0.557,0.557,0.563,0.557,0.556,0.56,0.557,0.555,0.558,0.563,0.562,0.563,0.565,0.561,0.558,0.562,0.567,0.568,0.566,0.571,0.573,0.57,0.575,0.58,0.577,0.579,0.576,0.58,0.581,0.583,0.584,0.59,0.593,0.598,0.6,0.597,0.599,0.604,0.602,0.604,0.607,0.609,0.611,0.608,0.611,0.61,0.612,0.618,0.625,0.623,0.621,0.627,0.633,0.638,0.644,0.644,0.639,0.636,0.635,0.639,0.647,0.65,0.648,0.644,0.645,0.646
2811-P2-T15-1-P,P2-T15-1,2811,-0.005,-0.004,-0.005,-0.005,-0.004,-0.004,-0.004,-0.005,-0.005,-0.005,-0.005,-0.005,-0.006,-0.006,-0.006,-0.006,-0.007,-0.007,-0.007,-0.007,-0.008,-0.008,-0.009,-0.008,-0.01,-0.009,-0.01,-0.01,-0.01,-0.011,-0.012,-0.012,-0.013,-0.013,-0.014,-0.014,-0.014,-0.015,-0.015,-0.015,-0.016,-0.016,-0.016,-0.017,-0.018,-0.018,-0.018,-0.019,-0.019,-0.02,-0.02,-0.021,-0.021,-0.021,-0.02,-0.02,-0.021,-0.021,-0.021,-0.022,-0.021,-0.021,-0.021,-0.02,-0.021,-0.021,-0.021,-0.021,-0.021,-0.02,-0.02,-0.02,-0.019,-0.018,-0.018,-0.018,-0.017,-0.015,-0.015,-0.012,-0.009,-0.007,-0.004,-0.002,0,0.004,0.008,0.012,0.016,0.021,0.028,0.033,0.039,0.046,0.053,0.06,0.067,0.075,0.083,0.091,0.1,0.109,0.119,0.129,0.139,0.149,0.158,0.17,0.182,0.194,0.205,0.218,0.232,0.246,0.258,0.271,0.282,0.295,0.306,0.314,0.317,0.32,0.325,0.33,0.336,0.34,0.346,0.349,0.352,0.356,0.359,0.365,0.366,0.369,0.368,0.368,0.37,0.369,0.368,0.367,0.366,0.367,0.367,0.366,0.366,0.365,0.365,0.366,0.364,0.365,0.364,0.366,0.367,0.369,0.372,0.374,0.378,0.381,0.387,0.391,0.398,0.402,0.408,0.413,0.417,0.422,0.425,0.428,0.43,0.433,0.434,0.438,0.439,0.441,0.442,0.445,0.446,0.448,0.448,0.45,0.451,0.455,0.456,0.456,0.459,0.462,0.463,0.468,0.468,0.471,0.472,0.475,0.476,0.477,0.48,0.482,0.484,0.485,0.488,0.491,0.492,0.494,0.494,0.497,0.498,0.501,0.501,0.504,0.505,0.506,0.509,0.509,0.513,0.513,0.514,0.517,0.519,0.52,0.522,0.522,0.524,0.526,0.526,0.53,0.528,0.532,0.534,0.534,0.537,0.535,0.538,0.54,0.541,0.542,0.545,0.547,0.547,0.548,0.549,0.553,0.553
2811-P2-T20-1-P,P2-T20-1,2811,0.011,0.005,0.005,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.005,0.004,0.005,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.003,0.004,0.004,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.004,0.005,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.004,0.004,0.003,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.006,0.004,0.005,0.006,0.007,0.008,0.008,0.009,0.011,0.012,0.014,0.014,0.016,0.017,0.02,0.022,0.024,0.028,0.03,0.033,0.038,0.042,0.047,0.051,0.054,0.06,0.065,0.07,0.076,0.082,0.087,0.093,0.098,0.103,0.109,0.114,0.117,0.121,0.12,0.126,0.136,0.144,0.15,0.155,0.163,0.171,0.177,0.184,0.191,0.198,0.206,0.207,0.209,0.209,0.213,0.217,0.224,0.227,0.233,0.239,0.242,0.248,0.257,0.26,0.267,0.276,0.283,0.291,0.298,0.305,0.31,0.317,0.324,0.327,0.332,0.338,0.343,0.347,0.35,0.354,0.358,0.36,0.363,0.368,0.371,0.375,0.378,0.381,0.384,0.386,0.389,0.392,0.396,0.399,0.401,0.404,0.406,0.408,0.412,0.415,0.416,0.418,0.42,0.422,0.423,0.423,0.425,0.428,0.428,0.43,0.433,0.435,0.438,0.438,0.44,0.442,0.444,0.446,0.448,0.451,0.452,0.455,0.455,0.457,0.459,0.461,0.463,0.463,0.465,0.467,0.469,0.469,0.468,0.471,0.473,0.474,0.475,0.478,0.479,0.48,0.481,0.483,0.485,0.485,0.486,0.487,0.489,0.49,0.491,0.494,0.493,0.496,0.496,0.498,0.498,0.499,0.5,0.503,0.502,0.503,0.504,0.505,0.506,0.507,0.507,0.507,0.508,0.51,0.511,0.51,0.511,0.511,0.511
2811-P2-T25-10-P,P2-T25-10,2811,0.007,0.002,0.001,0.001,0.001,0.001,0.001,0,0.001,0,0,0,0.001,0,0.001,-0.001,0,0,0.001,0.001,0.002,0,-0.001,0.001,-0.001,0.001,0,0.002,0.002,0,0.002,0.002,0,0.002,0,0.001,0.001,0.001,0,0.001,0.002,0.001,0.002,0.001,0.002,0.002,0.001,0.003,0.003,0.001,0.001,0.001,0.003,0.002,0.003,0.001,0.003,0.002,0.003,0.004,0.004,0.002,0.003,0.005,0.004,0.004,0.003,0.005,0.006,0.005,0.008,0.008,0.008,0.009,0.009,0.01,0.012,0.013,0.014,0.015,0.017,0.02,0.022,0.024,0.026,0.031,0.033,0.036,0.04,0.046,0.05,0.054,0.06,0.065,0.073,0.078,0.083,0.092,0.098,0.105,0.112,0.119,0.128,0.135,0.143,0.15,0.16,0.168,0.177,0.184,0.191,0.198,0.208,0.216,0.223,0.231,0.238,0.245,0.252,0.259,0.267,0.27,0.268,0.266,0.263,0.263,0.265,0.264,0.266,0.268,0.27,0.271,0.273,0.273,0.272,0.275,0.274,0.274,0.276,0.28,0.283,0.289,0.293,0.297,0.305,0.308,0.313,0.319,0.324,0.329,0.332,0.336,0.339,0.341,0.345,0.345,0.347,0.35,0.353,0.351,0.354,0.356,0.357,0.358,0.358,0.359,0.36,0.36,0.36,0.36,0.362,0.361,0.361,0.361,0.361,0.361,0.359,0.36,0.359,0.356,0.358,0.357,0.358,0.355,0.353,0.351,0.352,0.349,0.348,0.347,0.345,0.346,0.342,0.343,0.342,0.341,0.339,0.337,0.337,0.335,0.335,0.332,0.334,0.333,0.333,0.333,0.334,0.334,0.334,0.334,0.332,0.333,0.333,0.333,0.334,0.334,0.332,0.334,0.332,0.33,0.331,0.332,0.332,0.331,0.331,0.331,0.331,0.328,0.329,0.329,0.33,0.329,0.329,0.33,0.33,0.329,0.329,0.329,0.328,0.328,0.328
2811-P2-T25-9-R,P2-T25-9,2811,0.005,0.002,0.001,0.001,0,0.001,0.001,0,0.001,0,0,0,0.001,0,0,-0.001,0,0,0.001,0.001,0.001,0,-0.001,0,-0.001,0,-0.001,0.001,0,0,0,0,0,0,0,0,0,-0.001,-0.001,0,0,0.001,0,-0.001,0,0,0,0,0.001,-0.001,-0.001,-0.001,0.001,0,0.001,-0.001,-0.001,-0.001,-0.001,0,0,-0.001,-0.001,0,-0.002,-0.001,-0.003,-0.002,-0.001,-0.002,-0.002,-0.001,-0.002,-0.002,-0.003,-0.004,-0.003,-0.003,-0.003,-0.004,-0.004,-0.004,-0.006,-0.006,-0.005,-0.006,-0.007,-0.007,-0.008,-0.008,-0.01,-0.012,-0.011,-0.012,-0.012,-0.013,-0.011,-0.01,-0.009,-0.009,-0.008,-0.007,-0.006,-0.006,-0.006,-0.004,-0.004,-0.002,0,0.002,0.004,0.006,0.009,0.011,0.013,0.017,0.021,0.022,0.025,0.027,0.029,0.033,0.034,0.034,0.037,0.038,0.042,0.043,0.046,0.049,0.051,0.052,0.054,0.055,0.057,0.06,0.059,0.061,0.057,0.056,0.054,0.054,0.053,0.053,0.054,0.052,0.055,0.056,0.057,0.057,0.056,0.058,0.058,0.059,0.061,0.059,0.06,0.06,0.063,0.063,0.062,0.064,0.063,0.065,0.066,0.066,0.066,0.067,0.067,0.067,0.069,0.067,0.069,0.068,0.069,0.07,0.069,0.07,0.071,0.069,0.071,0.069,0.072,0.072,0.073,0.072,0.073,0.071,0.071,0.071,0.071,0.073,0.072,0.073,0.074,0.076,0.074,0.074,0.074,0.073,0.074,0.074,0.075,0.074,0.074,0.074,0.075,0.076,0.075,0.075,0.076,0.075,0.075,0.074,0.077,0.076,0.076,0.077,0.077,0.077,0.077,0.077,0.078,0.077,0.078,0.079,0.079,0.077,0.078,0.08,0.078,0.079,0.081,0.08,0.08,0.081,0.081,0.082,0.082,0.082,0.082
2811-P3-T5-1-P,P3-T5-1,2811,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.005,0.005,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.005,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.004,0.002,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.005,0.005,0.004,0.004,0.004,0.004,0.005,0.005,0.006,0.007,0.007,0.007,0.008,0.008,0.01,0.012,0.012,0.013,0.016,0.016,0.018,0.02,0.023,0.026,0.028,0.031,0.035,0.039,0.043,0.048,0.053,0.059,0.064,0.07,0.076,0.083,0.091,0.099,0.108,0.118,0.127,0.137,0.147,0.16,0.171,0.182,0.195,0.208,0.22,0.235,0.248,0.262,0.277,0.291,0.305,0.319,0.333,0.344,0.357,0.37,0.381,0.386,0.389,0.392,0.395,0.402,0.405,0.409,0.412,0.415,0.418,0.421,0.422,0.425,0.429,0.429,0.431,0.433,0.434,0.435,0.436,0.438,0.438,0.44,0.443,0.447,0.45,0.453,0.457,0.461,0.467,0.471,0.476,0.481,0.484,0.489,0.49,0.493,0.496,0.5,0.5,0.503,0.505,0.506,0.508,0.509,0.51,0.512,0.513,0.514,0.517,0.517,0.519,0.521,0.521,0.523,0.523,0.526,0.527,0.528,0.53,0.53,0.531,0.533,0.534,0.536,0.535,0.537,0.54,0.54,0.542,0.543,0.543,0.545,0.547,0.549,0.551,0.553,0.554,0.557,0.557,0.558,0.56,0.561,0.563,0.565,0.566,0.567,0.568,0.571,0.574,0.572,0.575,0.576,0.577,0.581,0.58,0.583,0.582,0.585,0.586,0.588,0.588,0.591,0.593,0.594,0.595,0.597,0.597,0.6,0.601,0.601,0.603,0.603,0.605,0.606,0.607,0.608,0.611,0.612,0.613,0.613,0.616
2811-P3-T15-2-R,P3-T15-2,2811,-0.002,-0.002,-0.001,-0.001,-0.001,-0.002,-0.002,-0.002,-0.002,-0.001,-0.001,-0.001,-0.002,-0.001,-0.002,-0.001,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,0,-0.001,-0.002,-0.002,-0.002,-0.002,-0.001,-0.002,-0.002,-0.002,-0.002,-0.001,-0.001,-0.002,-0.001,-0.002,-0.003,-0.002,-0.002,-0.003,-0.002,-0.003,-0.002,-0.002,-0.002,-0.003,-0.003,-0.003,-0.002,-0.002,-0.003,-0.002,-0.002,-0.003,-0.003,-0.002,-0.003,-0.003,-0.002,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.004,-0.004,-0.005,-0.004,-0.005,-0.005,-0.005,-0.007,-0.008,-0.008,-0.008,-0.009,-0.01,-0.01,-0.011,-0.012,-0.012,-0.013,-0.015,-0.017,-0.019,-0.021,-0.022,-0.024,-0.027,-0.028,-0.028,-0.029,-0.029,-0.029,-0.031,-0.03,-0.028,-0.028,-0.026,-0.025,-0.024,-0.019,-0.019,-0.017,-0.015,-0.014,-0.012,-0.009,-0.008,-0.003,-0.005,0.002,0.003,0.008,0.01,0.013,0.018,0.019,0.02,0.02,0.02,0.02,0.023,0.022,0.025,0.027,0.029,0.028,0.029,0.03,0.029,0.029,0.031,0.029,0.032,0.035,0.033,0.031,0.033,0.031,0.034,0.032,0.033,0.034,0.034,0.033,0.032,0.031,0.032,0.032,0.034,0.035,0.037,0.035,0.034,0.036,0.034,0.035,0.035,0.036,0.035,0.037,0.035,0.036,0.036,0.033,0.037,0.033,0.036,0.037,0.037,0.036,0.035,0.032,0.036,0.035,0.036,0.036,0.033,0.038,0.036,0.038,0.035,0.038,0.038,0.038,0.038,0.037,0.037,0.037,0.038,0.036,0.036,0.035,0.036,0.036,0.036,0.037,0.038,0.037,0.038,0.039,0.04,0.042,0.041,0.041,0.041,0.04,0.043,0.043,0.042,0.04,0.041,0.045,0.041,0.037,0.036,0.035,0.033,0.035,0.036,0.034,0.035,0.035,0.033,0.035,0.036,0.036,0.036,0.036,0.032,0.032,0.032,0.027,0.034
